reproduction_minimum,newborn_energy,transferred_energy,amount_of_iterations,immunological_time_span,bite_transfer,mahalanobis,immunological_maturity,good_agent_energy,evaluation_method,fitness_calls,iemas_fitness,time_elapsed
80,110,50,20,26,15,1.2,15,110,45,77,92.5908966402,1040
80,110,50,20,23,15,1.2,15,110,65,66,89.3088180364,1120
80,110,50,20,23,15,1.2,15,110,90,66,87.9973058812,990
80,110,50,20,20,15,1.2,15,110,60,64,81.6320561408,1100
80,110,50,20,23,15,1.4,15,110,15,66,91.1065112269,1120
80,110,50,20,20,15,1.4,15,110,80,60,77.9037256919,1130
80,110,50,20,26,15,1.2,15,110,95,77,100.377036414,1160
80,110,50,20,23,15,1.2,15,110,25,65,85.8140665562,1150
80,110,50,20,26,15,1.4,15,110,65,78,92.4746936803,1200
80,110,50,20,20,15,1.2,15,110,90,60,83.4020699493,1140
80,110,50,20,23,15,1.2,15,110,15,67,85.8200648012,1140
80,110,50,20,23,15,1.4,15,110,90,66,79.9252858077,1110
80,110,50,20,23,15,1.2,15,110,20,65,88.3784487599,1070
80,110,50,20,20,15,1.2,15,110,100,58,81.8632924119,1050
80,110,50,20,20,15,1.2,15,110,30,59,84.6798036776,1060
80,110,50,20,26,15,1.4,15,110,100,76,97.0864186588,1130
80,110,50,20,26,15,1.4,15,110,80,74,89.7660402322,1110
80,110,50,20,26,15,1.4,15,110,35,71,93.0688217139,1140
80,110,50,20,23,15,1.2,15,110,100,62,82.027657908,1040
80,110,50,20,23,15,1.2,15,110,85,67,88.2305500226,1160
80,110,50,20,20,15,1.2,15,110,95,62,80.404171104,1120
80,110,50,20,26,15,1.4,15,110,55,69,87.4678152104,1190
80,110,50,20,23,15,1.2,15,110,55,68,93.6871781729,1150
80,110,50,20,23,15,1.2,15,110,10,70,82.2708344442,1210
80,110,50,20,23,15,1.2,15,110,schwefel,119,11239.4222396,1330
80,110,50,20,26,15,1.2,15,110,55,78,92.196859144,1110
80,110,50,20,23,15,1.4,15,110,35,,,
80,110,50,20,23,15,1.2,15,110,rastrigin,,,
80,110,50,20,26,15,1.2,15,110,rastrigin,,,
80,110,50,20,26,15,1.4,15,110,95,,,
80,110,50,20,26,15,1.2,15,110,50,,,
80,110,50,20,26,15,1.4,15,110,85,,,
80,110,50,20,23,15,1.4,15,110,45,,,
80,110,50,20,26,15,1.4,15,110,schwefel,,,
80,110,50,20,26,15,1.2,15,110,85,,,
80,110,50,20,23,15,1.2,15,110,80,,,
80,110,50,20,20,15,1.4,15,110,70,,,
80,110,50,20,26,15,1.2,15,110,90,,,
80,110,50,20,26,15,1.2,15,110,25,,,
80,110,50,20,20,15,1.4,15,110,10,,,
80,110,50,20,23,15,1.4,15,110,schwefel,,,
80,110,50,20,23,15,1.2,15,110,50,,,
80,110,50,20,20,15,1.4,15,110,100,,,
80,110,50,20,20,15,1.4,15,110,20,,,
80,110,50,20,23,15,1.4,15,110,40,,,
80,110,50,20,23,15,1.2,15,110,30,,,
80,110,50,20,20,15,1.2,15,110,75,,,
